Unnamed: 0,0,1,2,3,4,5,6
1786,8,1528,1045,-3221,-2599,-2188,2908
1787,8,835,991,-3619,-2448,-2306,2882
1788,8,-103,828,-3688,-2256,-2448,2876
1789,8,-1127,366,-4200,-2043,-2609,2853
1790,8,-2516,-61,-4439,-1826,-2815,2758
1791,8,-3720,-1573,-5126,-1710,-3036,2592
1792,8,-3975,-2331,-5282,-1709,-3102,2555
1793,8,-4183,-2658,-5410,-1698,-3165,2538
1794,8,-4300,-2965,-5493,-1691,-3227,2518
1795,8,-4355,-3154,-5569,-1680,-3289,2495
1796,8,-4407,-3294,-5599,-1672,-3351,2473
1797,8,-4424,-3394,-5634,-1667,-3412,2447
1798,8,-4427,-3452,-5649,-1663,-3473,2423
1799,8,-4418,-3459,-5655,-1658,-3532,2402
1800,8,-4390,-3465,-5673,-1655,-3591,2380
1801,8,-4367,-3475,-5670,-1651,-3650,2361
1802,8,-4335,-3455,-5664,-1643,-3709,2341
1803,8,-4288,-3422,-5630,-1635,-3769,2320
1804,8,-4255,-3384,-5623,-1629,-3827,2300
1805,8,-4218,-3360,-5608,-1622,-3887,2278
1806,8,-4171,-3333,-5594,-1618,-3945,2256
1807,8,-4130,-3302,-5576,-1611,-4003,2237
1808,8,-4075,-3280,-5563,-1606,-4061,2215
1809,8,-4031,-3236,-5538,-1598,-4120,2196
1810,8,-3984,-3196,-5525,-1592,-4178,2175
1811,8,-3939,-3156,-5503,-1588,-4235,2154
1812,8,-3903,-3142,-5492,-1585,-4293,2134
1813,8,-3849,-3100,-5474,-1579,-4351,2112
1814,8,-3811,-3084,-5465,-1574,-4407,2092
1815,8,-3767,-3059,-5452,-1566,-4463,2075
1816,8,-3722,-3021,-5424,-1559,-4519,2057
1817,8,-3686,-2995,-5401,-1555,-4575,2032
1818,9,2377,738,-2609,-3022,-4369,2490
1819,9,3919,11,-1747,-3348,-4183,2036
1820,9,4240,-717,-1566,-3345,-4203,1639
1821,9,3085,-1356,-1460,-3153,-4442,1373
1822,9,2772,-1905,-781,-2966,-4678,1280
