Unnamed: 0,0,1,2,3,4,5,6
15,2,1606,-4390,-8159,-402,-1659,-2520
16,2,3544,-3869,-8968,-63,-1414,-2423
17,2,5218,-2587,-9457,293,-1285,-2213
18,2,5984,-477,-8898,629,-1338,-2092
19,2,5942,1686,-6575,787,-1473,-2333
20,2,6086,2090,-4811,594,-1569,-2586
21,2,5840,1106,-3361,296,-1562,-2833
22,2,5421,-804,-2941,7,-1446,-3035
23,2,5302,-2564,-3090,-192,-1243,-3094
24,2,4705,-4074,-3767,-280,-977,-3136
25,2,4354,-5346,-5266,-256,-642,-3102
26,2,4094,-6039,-7436,-131,-239,-2973
27,2,4479,-6131,-9190,107,124,-2783
28,2,5666,-4819,-9964,442,303,-2560
29,2,5893,-3095,-9499,747,350,-2420
30,2,6184,-1275,-8840,951,338,-2258
31,2,6210,325,-7727,1099,274,-2249
32,2,6231,1487,-5872,1089,176,-2397
33,2,6173,1383,-3989,911,128,-2597
34,2,5433,519,-2999,668,186,-2822
35,2,4834,-1197,-3024,400,358,-2947
36,2,4419,-3523,-3751,211,618,-3026
37,2,3893,-4848,-4953,145,920,-3057
38,2,3423,-5725,-6684,207,1225,-3104
39,2,3428,-6067,-8392,367,1505,-3023
40,2,3662,-5735,-9437,631,1728,-2928
41,2,4124,-4391,-10087,925,1860,-2722
42,2,4744,-2470,-10297,1230,1889,-2475
43,2,4503,-1,-8993,1543,1788,-2411
44,2,4587,1558,-7308,1557,1686,-2398
45,2,4534,2072,-5734,1429,1592,-2535
46,2,4407,1644,-4195,1192,1557,-2630
47,2,4172,331,-3199,894,1616,-2747
48,2,3922,-1298,-3014,620,1764,-2865
49,2,3446,-3308,-3423,423,1963,-2988
50,2,2653,-4673,-4343,335,2216,-3085
51,2,2364,-5733,-5827,298,2517,-3109
52,2,2308,-6309,-7265,389,2806,-3114
53,2,2745,-6356,-8672,544,3026,-3002
54,2,3187,-5708,-9163,767,3195,-2827
55,2,3479,-4396,-9374,978,3330,-2508
56,2,3965,-2829,-9397,1180,3376,-2173
57,2,4024,-1042,-8743,1398,3348,-1915
58,2,3716,1026,-7567,1559,3255,-1839
59,2,3490,2153,-5781,1508,3117,-1994
60,2,3122,1845,-4158,1339,3038,-2239
61,2,2866,518,-3135,1096,3047,-2489
62,2,2919,-1149,-2650,881,3159,-2672
63,2,2642,-2819,-2861,719,3331,-2845
64,2,2353,-4050,-3701,621,3520,-2984
65,2,2100,-5120,-4939,618,3745,-3074
66,2,1949,-5790,-5984,672,3982,-3064
67,2,2152,-5803,-6879,786,4192,-2937
68,2,2716,-5121,-7550,952,4331,-2775
69,2,3194,-4058,-7840,1116,4399,-2548
70,2,3560,-2758,-7667,1263,4421,-2268
71,2,3515,-1160,-6951,1437,4396,-2013
72,2,3233,559,-5626,1628,4326,-1946
73,2,3260,1622,-4645,1657,4247,-1985
74,2,2875,1915,-3772,1606,4177,-2121
75,2,2101,890,-1605,1295,4122,-2534
76,2,1763,-490,-1128,1106,4208,-2796
77,2,1745,-2236,-1558,908,4395,-2972
78,2,1427,-3431,-2438,788,4601,-3173
79,2,1000,-4701,-3772,749,4819,-3335
80,2,886,-5893,-5204,761,5069,-3392
81,2,977,-6097,-6339,874,5298,-3347
82,2,1388,-5643,-7159,1034,5476,-3182
83,2,1837,-4546,-7742,1197,5612,-2912
84,2,2311,-3145,-7918,1335,5653,-2591
85,2,2441,-1540,-7425,1497,5609,-2306
86,2,2405,168,-6234,1647,5490,-2154
87,2,2297,1559,-4873,1684,5372,-2176
88,2,1837,1653,-3150,1597,5257,-2450
89,2,1121,853,-1753,1373,5246,-2753
90,2,573,-782,-1327,1111,5363,-3065
91,2,322,-2957,-2103,885,5575,-3334
92,2,-15,-4556,-3359,764,5781,-3571
93,2,-52,-6293,-6090,847,6229,-3680
94,2,278,-6257,-7195,985,6467,-3480
95,2,800,-5017,-7879,1175,6591,-3175
96,2,1115,-3440,-7684,1340,6598,-2763
97,2,1279,-1022,-7102,1443,6537,-2326
98,2,1309,868,-5706,1504,6426,-2207
99,2,1436,1566,-4162,1423,6284,-2306
100,2,1234,1405,-2620,1271,6194,-2498
101,2,855,722,-1641,1073,6163,-2763
102,2,532,-819,-1281,891,6212,-3113
103,2,164,-2384,-1495,718,6353,-3392
104,2,-36,-3962,-2284,570,6545,-3632
105,2,-220,-5165,-3376,535,6766,-3844
106,2,-434,-6014,-4754,547,6990,-3925
107,2,-323,-6570,-6158,576,7234,-3855
108,2,135,-6378,-7288,628,7451,-3610
109,2,289,-5021,-7567,683,7588,-3154
110,2,660,-3194,-7376,735,7621,-2634
111,2,850,-1258,-6623,816,7568,-2189
112,2,844,468,-5758,901,7469,-1986
113,2,854,1553,-4448,836,7329,-1985
114,2,627,1953,-3044,705,7184,-2148
115,2,31,1434,-1779,511,7073,-2446
116,2,-463,6,-640,264,7040,-2842
117,2,-621,-2063,-239,-54,7121,-3183
118,2,-1020,-3853,-544,-312,7280,-3467
119,2,-1508,-5079,-1233,-512,7476,-3708
120,2,-1688,-6131,-2447,-669,7728,-3883
121,2,-1627,-6820,-3823,-772,7997,-3930
122,2,-1388,-6837,-5127,-820,8227,-3818
123,2,-1440,-6059,-5811,-786,8383,-3557
124,2,-1543,-5009,-6121,-719,8429,-3184
125,2,-1558,-3446,-5730,-563,8365,-2697
126,2,-1868,-1559,-5087,-340,8188,-2146
127,2,-2858,271,-4120,-75,7936,-1639
128,2,-4359,1611,-3025,161,7577,-1233
129,2,-6267,1954,-2243,430,7136,-1020
130,2,-8314,1896,-2015,622,6708,-810
131,2,-9716,1651,-1808,800,6361,-700
132,2,-10493,1319,-2108,909,6114,-747
133,2,-10797,801,-2714,932,5979,-813
134,2,-11032,506,-3699,939,5916,-832
135,2,-11265,177,-4389,928,5858,-857
136,2,-11394,-88,-4920,920,5802,-891
137,2,-11468,-236,-5359,913,5745,-907
138,2,-11511,-317,-5556,896,5687,-911
139,2,-11524,-337,-5716,871,5632,-915
140,2,-11512,-354,-5874,846,5575,-931
141,2,-11487,-372,-5970,827,5516,-941
142,2,-11457,-321,-6017,814,5455,-946
143,2,-11432,-300,-6068,802,5394,-952
144,2,-11405,-291,-6116,788,5334,-959
145,2,-11366,-270,-6157,773,5271,-965
146,2,-11329,-244,-6190,762,5207,-970
147,2,-11286,-226,-6225,750,5143,-978
148,2,-11228,-203,-6247,737,5078,-984
149,2,-11179,-178,-6276,726,5014,-991
150,2,-11133,-159,-6309,715,4949,-1000
151,2,-11088,-131,-6334,704,4884,-1009
152,2,-11038,-123,-6363,695,4818,-1017
153,2,-10996,-103,-6398,685,4753,-1026
154,2,-10949,-90,-6433,674,4688,-1031
155,2,-10888,-62,-6460,663,4623,-1037
156,2,-10852,-46,-6500,652,4557,-1043
157,2,-10796,-26,-6519,642,4493,-1048
158,2,-10742,-5,-6545,630,4429,-1051
159,2,-10687,13,-6569,621,4364,-1057
160,2,-10645,38,-6583,611,4299,-1062
161,2,-10593,30,-6611,601,4232,-1069
162,3,-12351,1865,-1640,760,3273,-2173
163,3,-12647,1614,-1155,649,3569,-2541
164,3,-12049,395,-1871,597,3950,-2958
165,3,-10580,-1333,-3309,635,4365,-3262
166,3,-8903,-2925,-4970,727,4772,-3395
167,3,-6871,-3937,-6739,845,5185,-3402
168,3,-4970,-4428,-8094,976,5556,-3230
169,3,-3118,-3836,-9612,1127,5842,-2904
170,3,-1241,-2968,-10309,1241,6001,-2434
171,3,-323,-1312,-10004,1437,5982,-2006
172,3,253,943,-8743,1626,5777,-1769
173,3,133,1902,-6516,1762,5528,-2116
174,3,-225,1148,-3736,1601,5386,-2634
175,3,-460,-516,-2648,1376,5430,-3062
176,3,-771,-2571,-2557,1209,5588,-3393
177,3,-1131,-4114,-3027,1158,5798,-3652
178,3,-1524,-5021,-4033,1200,6043,-3809
179,3,-1384,-5871,-5687,1268,6337,-3870
180,3,-1339,-6094,-7006,1391,6634,-3818
181,3,-1065,-5972,-8006,1542,6878,-3661
182,3,-336,-5321,-8774,1671,7077,-3284
183,3,579,-4078,-9300,1721,7220,-2745
184,3,960,-2111,-8636,1830,7196,-2224
185,3,1070,-233,-7447,1971,7058,-1922
186,3,972,1266,-6020,2072,6880,-1920
187,3,293,1806,-3182,2059,6691,-2240
188,3,-493,1054,-1666,1931,6623,-2783
189,3,-776,-1161,-1549,1773,6722,-3293
190,3,-985,-2958,-2013,1640,6899,-3644
191,3,-1353,-4209,-2928,1637,7104,-3928
192,3,-1591,-5258,-4262,1665,7328,-4093
193,3,-1565,-5883,-5477,1736,7575,-4173
194,3,-1594,-6136,-6448,1813,7839,-4076
195,3,-947,-6006,-7225,1900,8076,-3820
196,3,-92,-5399,-7817,1960,8274,-3439
197,3,330,-4273,-7985,1929,8394,-2918
198,3,387,-2683,-7659,1920,8406,-2354
199,3,553,-334,-6444,1936,8295,-1877
200,3,274,1190,-4640,2230,8079,-2019
201,3,-141,1179,-2716,2192,7910,-2468
202,3,-592,-44,-1624,2108,7857,-3043
203,3,-833,-1781,-1181,1958,7919,-3504
204,3,-1185,-3477,-1181,1823,8055,-3852
205,3,-1824,-4758,-1871,1747,8215,-4158
206,3,-1932,-5730,-2898,1771,8392,-4397
207,3,-1976,-6534,-3744,1814,8595,-4512
208,3,-2031,-6859,-4893,1862,8871,-4463
209,3,-1690,-6749,-6007,1933,9134,-4236
210,3,-1208,-5805,-6450,1998,9329,-3771
211,3,-308,-4235,-6603,1987,9420,-3216
212,3,-51,-2677,-6294,1955,9428,-2592
213,3,-302,-437,-5552,2084,9334,-2102
214,3,-443,1427,-4049,2133,9175,-1990
215,3,-726,2220,-2554,2101,8977,-2235
216,3,-1296,1745,-938,2013,8843,-2744
217,3,-1303,280,-223,1791,8810,-3264
218,3,-1090,-1340,-135,1634,8851,-3766
219,3,-1286,-2866,-494,1600,8926,-4233
220,3,-1565,-4083,-1212,1583,9030,-4576
221,3,-1936,-5195,-2305,1614,9188,-4844
222,3,-1966,-5956,-3347,1681,9380,-4950
223,3,-1506,-6150,-4450,1742,9577,-4844
224,3,-1012,-5847,-4986,1821,9755,-4482
225,3,-508,-4599,-5509,1798,9860,-3952
226,3,-308,-3009,-5044,1729,9860,-3339
227,3,-161,-1070,-3982,1742,9774,-2842
228,3,-280,585,-2667,1740,9641,-2621
229,3,-547,1464,-1479,1740,9485,-2755
230,3,-921,1542,-247,1659,9328,-3150
231,3,-1074,773,579,1515,9236,-3698
232,3,-1309,-896,934,1392,9226,-4304
233,3,-1692,-2692,661,1291,9294,-4810
234,3,-2015,-4077,-67,1229,9434,-5199
235,3,-2463,-4843,-962,1223,9606,-5508
236,3,-2689,-5608,-2179,1219,9802,-5725
237,3,-2525,-6131,-3276,1174,9997,-5802
238,3,-1451,-6245,-4781,1086,10392,-5559
239,3,-1032,-5456,-5136,946,10559,-5110
240,3,-557,-4084,-5393,792,10667,-4496
241,3,-248,-2224,-4784,673,10667,-3859
242,3,-219,-420,-3670,707,10548,-3487
243,3,-274,671,-2090,879,10365,-3528
244,3,-770,819,-395,1025,10205,-3917
245,3,-904,93,335,995,10111,-4535
246,3,-1372,-1429,626,949,10078,-5234
247,3,-1897,-3455,171,962,10139,-5860
248,3,-2386,-4627,-702,969,10269,-6355
249,3,-2744,-5413,-1773,935,10435,-6679
250,3,-3048,-5995,-2708,926,10615,-6880
251,3,-2892,-6566,-3578,855,10819,-6935
252,3,-2489,-6683,-4350,706,11050,-6822
253,3,-2109,-5977,-5093,523,11252,-6480
254,3,-1134,-4682,-5433,295,11399,-5918
255,3,-582,-3105,-4986,-135,11460,-5127
256,3,-559,-1393,-4439,-599,11463,-4286
257,3,-873,461,-2995,-528,11348,-3774
258,3,-902,1488,-1665,-453,11169,-3796
259,3,-953,1660,-336,-415,11003,-4128
260,3,-1265,1218,654,-306,10858,-4748
261,3,-1268,-592,974,-245,10784,-5555
