Unnamed: 0,0,1,2,3,4,5,6
0,1,-3259,735,1104,-673,-7673,-1017
1,1,-3893,496,1165,-932,-7226,-1064
2,1,-3272,-386,252,-1172,-6759,-1103
3,1,-2122,-1734,-1150,-1381,-6331,-1235
4,1,-439,-3298,-3006,-1399,-5922,-1377
5,1,1434,-4576,-5325,-1238,-5555,-1439
6,1,3354,-5489,-7312,-977,-5236,-1462
7,1,5025,-5387,-8560,-638,-5033,-1511
8,1,6899,-4227,-9466,-213,-4914,-1502
9,1,8824,-2621,-10656,242,-4843,-1341
10,1,8988,-22,-9589,541,-5061,-1478
11,1,8385,1098,-6326,181,-5303,-1951
12,1,8329,-273,-4363,-282,-5256,-2007
13,1,8199,-2375,-3722,-639,-5079,-2007
14,1,8012,-4225,-4074,-831,-4853,-1990
15,1,7740,-5514,-4978,-878,-4601,-2088
16,1,7909,-6547,-6936,-648,-4178,-2229
17,1,8566,-6370,-7497,-451,-4071,-2332
18,1,8886,-5893,-7666,-215,-3965,-2418
19,1,9321,-4944,-8516,86,-3816,-2376
20,1,9806,-3608,-9804,462,-3678,-2114
21,1,10072,-1615,-10326,856,-3704,-1906
22,1,9837,1379,-8450,1102,-3878,-1905
23,1,9018,2458,-5989,795,-4074,-2061
24,1,8260,832,-4057,270,-4069,-2070
25,1,7687,-1692,-3513,-107,-3867,-2015
26,1,7249,-3736,-3786,-310,-3618,-1993
27,1,6464,-5310,-4774,-370,-3319,-2020
28,1,6168,-6648,-6472,-297,-2980,-2011
29,1,5980,-7013,-7966,-90,-2676,-1982
30,1,6514,-6786,-9206,184,-2453,-1914
31,1,7600,-5815,-9950,514,-2263,-1826
32,1,8325,-2813,-10430,1162,-2204,-1600
33,1,7809,-283,-7753,1392,-2391,-1806
34,1,7845,1005,-5538,1254,-2515,-1754
35,1,7415,605,-3658,896,-2557,-1865
36,1,6930,-1176,-3019,527,-2460,-1983
37,1,6372,-3168,-2769,255,-2256,-2010
38,1,5752,-4895,-3362,95,-1967,-2037
39,1,5306,-6149,-4931,67,-1640,-2052
40,1,5079,-6951,-6768,169,-1328,-2073
41,1,5393,-6929,-8064,365,-1083,-2056
42,1,5972,-6383,-9011,627,-891,-1951
43,1,6905,-5099,-9706,931,-762,-1731
44,1,7266,-3471,-10277,1224,-692,-1430
45,1,7116,-1322,-9500,1477,-769,-1298
46,1,7156,583,-7785,1526,-909,-1311
47,1,6996,1262,-5336,1382,-1023,-1305
48,1,6469,725,-3470,1100,-1044,-1403
49,1,6040,-855,-3070,784,-928,-1559
50,1,5606,-2712,-3186,572,-726,-1695
51,1,5167,-4032,-4070,445,-479,-1780
52,1,5003,-5372,-5466,398,-243,-1861
53,1,5079,-6361,-6975,471,-29,-1908
54,1,5310,-6602,-8437,670,193,-1842
55,1,5722,-5944,-9407,949,364,-1635
56,1,6001,-4366,-9879,1250,454,-1375
57,1,6131,-2210,-9317,1539,426,-1076
58,1,6044,12,-8221,1733,333,-952
59,1,5765,1463,-6260,1717,205,-1086
60,1,5513,1307,-4513,1499,141,-1289
61,1,5347,365,-3169,1207,203,-1434
62,1,4887,-1437,-2688,933,366,-1644
63,1,4369,-3336,-3291,742,611,-1896
64,1,3607,-4866,-4994,675,893,-2024
65,1,3201,-6203,-7002,710,1175,-2046
66,1,3039,-6687,-8645,874,1422,-2008
67,1,3315,-6286,-9669,1122,1583,-1929
68,1,4145,-5213,-10329,1386,1679,-1701
69,1,4702,-3547,-10737,1622,1708,-1336
70,1,4904,-1526,-10110,1848,1612,-1060
71,1,4490,831,-7493,1977,1431,-1019
72,1,4219,1349,-5171,1843,1302,-1190
73,1,3950,529,-3716,1564,1315,-1396
74,1,3917,-1194,-3068,1294,1457,-1574
75,1,3755,-2875,-3082,1071,1653,-1715
76,1,3062,-4503,-3850,950,1891,-1888
77,1,2620,-5727,-5197,892,2163,-1977
78,1,2362,-6736,-6695,900,2433,-2039
79,1,2262,-7189,-7978,1009,2676,-2038
80,1,2495,-7142,-9193,1176,2885,-1926
81,1,2969,-6557,-10098,1371,3050,-1711
82,1,3596,-5260,-10369,1579,3121,-1423
83,1,3970,-3442,-9845,1805,3073,-1166
84,1,4072,-1269,-7921,1981,2933,-1071
85,1,4120,-179,-6326,1948,2830,-1134
86,1,3851,-227,-4642,1775,2787,-1279
87,1,3488,-875,-3459,1545,2824,-1454
88,1,3210,-2629,-2933,1316,2968,-1667
89,1,2643,-4096,-3366,1151,3185,-1828
